metric,value
Doc2Vec_cosine,0.8681250214576721
TFIDF_cosine,0.5106513731844373
Jaccard,0.15838509316770186
LengthSim,0.3208916537065837
VecDistSim,0.6392733
FinalScore,0.49946528547643576
